,0
476,"Commercial Sector Consumption of Solar Energy, Monthly"
477,"Comm. and Indus. Sectors Large-Scale Solar Net Summer Capacity, Monthly"
478,"Industrial sector net generation from renewables excluding hydropower, United States, Monthly"
479,"Renewable Fuels Except Fuel Ethanol Net Imports, Monthly"
480,"Renewable Fuels Except Fuel Ethanol Production, Monthly"
481,"Electric power sector total net generation from all types of energy sources, Florida (FRCC), Monthly"
482,"Total Generation from Small-Scale Solar Photovoltaic, United States, Monthly"
483,"Electric Power Sector Consumption of Solar Energy, Monthly"
484,"Electric power sector total net generation from all types of energy sources, Hawaii and Alaska, Monthly"
485,"Electric Power Sector Generation from Residual Fuel Oil, Monthly"
486,"Cost of Residual Fuel Oil Delivered to Electric Generating Plants, Monthly"
487,"Residual Fuel Oil Net Imports, Monthly"
488,"Residual Fuel Oil Inventory, Monthly"
489,"Residual Fuel Oil Stocks, Electric Power Sector, Monthly"
490,"Residual Fuel Refinery Output, Monthly"
491,"Residual Fuel Oil Product Supplied, Monthly"
492,"No. 6 Residual Fuel Oil Price, Monthly"
493,"Air Travel Capacity, Monthly"
494,"Aircraft Utilization, Monthly"
495,"Net generation from renewables excluding hydropower, all sectors, United States, Monthly"
496,"Generation from Renewables (excluding Hydro) by All Sectors, Monthly"
497,"Total Raw Steel Production, Monthly"
498,"Residential Sector Small-Scale Solar Photovoltaic Capacity, Monthly"
499,"Residential Sector Generation from Small-Scale Solar Photovoltaic, United States, Monthly"
500,"Total Small-Scale Solar Photovoltaic Capacity, Monthly"
501,"Renewable Fuels Except Fuel Ethanol Refinery and Blender Net Inputs, Monthly"
502,"Industrial Sector Small-Scale Solar Photovoltaic Capacity, Monthly"
503,"Industrial Sector Generation from Small-Scale Solar Photovoltaic, United States, Monthly"
504,"Electric power sector net generation from utility-scale solar, California, Monthly"
505,"Electric power sector net generation from utility-scale solar, Florida (FRCC), Monthly"
506,"Electric power sector total net generation from all types of energy sources, New England (ISO-NE), Monthly"
507,"Electric power sector total net generation from all types of energy sources, Midwest (Midcontinent ISO), Monthly"
508,"Commercial sector net generation from renewables excluding hydropower, United States, Monthly"
509,"Electric power sector net generation from renewable energy (all types), Florida (FRCC), Monthly"
510,"Electric power sector net generation from renewable energy (all types), California, Monthly"
511,"Electric Power Sector Large-Scale Solar Net Summer Capacity, Monthly"
512,"Electric power sector net generation from renewables excluding hydropower, California, Monthly"
513,"Electric power sector net generation from utility-scale solar, Hawaii and Alaska, Monthly"
514,"Electric power sector net generation from utility-scale solar, Midwest (Midcontinent ISO), Monthly"
515,"Electric power sector total net generation from all types of energy sources, New York (NYISO), Monthly"
516,"Electric power sector total net generation from all types of energy sources, Northwest, Monthly"
517,"Electric power sector net generation from renewables excluding hydropower, Florida (FRCC), Monthly"
518,"Electric power sector net generation from renewable energy (all types), Midwest (Midcontinent ISO), Monthly"
519,"Electric power sector net generation from renewable energy (all types), Hawaii and Alaska, Monthly"
520,"Electric power sector net generation from renewable energy (all types), New England (ISO-NE), Monthly"
521,"Industrial sector consumption of coal, United States, Quarterly"
522,"Industrial sector net generation from coal, United States, Quarterly"
523,"Total Coal Consumption , Quarterly"
524,"Net generation from coal, all sectors, United States, Quarterly"
525,"Electric power sector net generation from utility-scale solar, New England (ISO-NE), Monthly"
526,"Electric power sector total net generation from all types of energy sources, Mid-Atlantic (PJM), Monthly"
527,"Fuel Oil Consumption, Quarterly"
528,"Electric power sector net generation from renewables excluding hydropower, Hawaii and Alaska, Monthly"
529,"Crude Oil Production, Kuwait, Quarterly"
530,"Crude Oil Production, Libya, Quarterly"
531,"Coke Plants Coal Consumption, Quarterly"
532,"Coal Miner Productivity, Quarterly"
533,"Total Coal Supply, Quarterly"
534,"Generation from Coal by All Sectors, Quarterly"
535,"Crude Oil Production, Nigeria, Quarterly"
536,"Crude Oil Production, OPEC Total, Quarterly"
537,"Distillate Fuel Oil Adjustment, Quarterly"
538,"Heating Oil Refiner Wholesale Price, Quarterly"
539,"Distillate Fuel Oil Delivers to Power Sector, Quarterly"
540,"Crude OIl Refinery Input, Quarterly"
541,"Strategic Petroleum Reserve, Quarterly"
542,"Crude Oil Production, Iran, Quarterly"
543,"Crude Oil Production, Iraq, Quarterly"
544,"Coal Consumed in non-Power Sectors, Quarterly"
545,"Iran Crude Oil Production Capacity, Quarterly"
546,"Iraq Crude Oil Production Capacity, Quarterly"
547,"Kuwait Crude Oil Production Capacity, Quarterly"
548,"Libya Crude Oil Production Capacity, Quarterly"
549,"Real Personal Income E. N. Central, Quarterly"
550,"Real Personal Income E. S. Central, Quarterly"
551,"Real Personal Income W. S. Central, Quarterly"
552,"Heating Oil Retail Price Including Taxes, U.S. Average, Quarterly"
553,"Other Industrial Coal Consumption, Quarterly"
554,"Crude Oil Inventory (excluding SPR), Quarterly"
555,"Crude Oil Net Commercial Inventory Withdrawals, Quarterly"
556,"Steam Coal Gross Exports, Quarterly"
557,"Heating oil retail price incl taxes, U.S. average, Quarterly"
558,"Heating Oil Retail Price Incl Taxes, U.S. Average, Quarterly"
559,"Retail Price of Electricity in Residential Sector, Mountain, Monthly"
560,"Retail Price of Electricity in Residential Sector, New England, Monthly"
561,"Retail Price of Electricity in Residential Sector, Pacific Contiguous, Monthly"
562,"Retail Price of Electricity in Residential Sector, South Atlantic, Monthly"
563,"Retail Price of Electricity in Residential Sector, U.S. Average, Monthly"
564,"Retail Price of Electricity in Residential Sector, West North Central, Monthly"
565,"Retail Price of Electricity in Residential Sector, West South Central, Monthly"
566,"Retail Price of Electricity for All Sectors, East North Central, Monthly"
567,"Retail Price of Electricity for All Sectors, East South Central, Monthly"
568,"Retail Price of Electricity for All Sectors, Alaska and Hawaii, Monthly"
569,"Retail Price of Electricity for All Sectors, Middle Atlantic, Monthly"
570,"Retail Price of Electricity for All Sectors, Mountain, Monthly"
571,"Retail Price of Electricity for All Sectors, New England, Monthly"
572,"Retail Price of Electricity for All Sectors, Pacific Contiguous, Monthly"
573,"Retail Price of Electricity for All Sectors, South Atlantic, Monthly"
574,"Retail Price of Electricity for All Sectors, U.S. Total, Monthly"
575,"Retail Price of Electricity for All Sectors, West North Central, Monthly"
576,"Retail Price of Electricity for All Sectors, West South Central, Monthly"
577,"Total Consumption of Electricity in United States, Monthly"
578,"Ethane Production at Natural Gas Processing Plants, Monthly"
579,"Ethane Net Imports, Monthly"
580,"Ethane/Ethylene U.S. Inventory, Monthly"
581,"Ethane/Ethylene Refinery and Blender Net Production, Monthly"
582,"Ethane/Ethylene Product Supplied, Monthly"
583,"Total Supply of Electricity in United States, Monthly"
584,"Retail Sales of Electricity in Transportation Sector, U.S. Total, Monthly"
585,"Retail Sales of Electricity in Transportation Sector, East North Central, Monthly"
586,"Retail Sales of Electricity in Transportation Sector, East South Central, Monthly"
587,"Retail Sales of Electricity in Transportation Sector, Alaska and Hawaii, Monthly"
588,"Retail Sales of Electricity in Transportation Sector, Middle Atlantic, Monthly"
589,"Retail Sales of Electricity in Transportation Sector, Mountain, Monthly"
590,"Retail Sales of Electricity in Transportation Sector, New England, Monthly"
591,"Retail Sales of Electricity in Transportation Sector, Pacific Contiguous, Monthly"
592,"Retail Sales of Electricity in Transportation Sector, South Atlantic, Monthly"
593,"Retail Sales of Electricity in Transportation Sector, U.S. Total, Monthly"
594,"Retail Sales of Electricity in Transportation Sector, West North Central, Monthly"
595,"Retail Sales of Electricity in Transportation Sector, West South Central, Monthly"
596,"Retail Sales of Electricity in Commercial Sector, U.S. Total, Monthly"
597,"Retail Sales of Electricity in Commercial Sector, East North Central, Monthly"
598,"Retail Sales of Electricity in Commercial Sector, East South Central, Monthly"
599,"Retail Sales of Electricity in Commercial Sector, Alaska and Hawaii, Monthly"
600,"Retail Sales of Electricity in Commercial Sector, Middle Atlantic, Monthly"
601,"Retail Sales of Electricity in Commercial Sector, Mountain, Monthly"
602,"Retail Sales of Electricity in Commercial Sector, New England, Monthly"
603,"Retail Sales of Electricity in Commercial Sector, Pacific Contiguous, Monthly"
604,"Retail Sales of Electricity in Commercial Sector, South Atlantic, Monthly"
605,"Retail Sales of Electricity in Commercial Sector, U.S. Total, Monthly"
606,"Retail Sales of Electricity in Commercial Sector, West North Central, Monthly"
607,"Retail Sales of Electricity in Commercial Sector, West South Central, Monthly"
608,"Retail Sales of Electricity in Industrial Sector, U.S. Total, Monthly"
609,"Retail Sales of Electricity in Industrial Sector, East North Central, Monthly"
610,"Equatorial Guinea Spare Crude Oil Production Capacity, Quarterly"
611,"Gabon Spare Crude Oil Production Capacity, Quarterly"
612,"Iran Spare Crude Oil Production Capacity, Quarterly"
613,"Iraq Spare Crude Oil Production Capacity, Quarterly"
614,"Kuwait Spare Crude Oil Production Capacity, Quarterly"
615,"Cost of Coal Delivered to Electric Generating Plants, Quarterly"
616,"Coal Primary Inventory Withdrawals, Quarterly"
617,"Coal Secondary Inventories Commercial and Institutional, Quarterly"
618,"Net energy for electricity load, Mid-Atlantic (PJM), Monthly"
619,"Retail Sales of Electricity in Industrial Sector, New England, Monthly"
620,"Retail Sales of Electricity in Industrial Sector, Pacific Contiguous, Monthly"
621,"Retail Sales of Electricity in Industrial Sector, South Atlantic, Monthly"
622,"Retail Sales of Electricity in Industrial Sector, U.S. Total, Monthly"
623,"Retail Sales of Electricity in Industrial Sector, West North Central, Monthly"
624,"Retail Sales of Electricity in Industrial Sector, West South Central, Monthly"
625,"Average Residential Electricity Usage Per Customer, East North Central, Monthly"
626,"Average Residential Electricity Usage Per Customer, East South Central, Monthly"
627,"Average Residential Electricity Usage Per Customer, Hawaii and Alaska, Monthly"
628,"Average Residential Electricity Usage Per Customer, Middle Atlantic, Monthly"
629,"Average Residential Electricity Usage Per Customer, Mountain, Monthly"
630,"Average Residential Electricity Usage Per Customer, New England, Monthly"
631,"Average Residential Electricity Usage Per Customer, Pacific Contiguous, Monthly"
632,"Average Residential Electricity Usage Per Customer, South Atlantic, Monthly"
633,"Average Residential Electricity Usage Per Customer, United States, Monthly"
634,"Average Residential Electricity Usage Per Customer, West North Central, Monthly"
635,"Average Residential Electricity Usage Per Customer, West South Central, Monthly"
636,"Retail Sales of Electricity in Residential Sector, U.S. Total, Monthly"
637,"Retail Sales of Electricity in Residential Sector, East North Central, Monthly"
638,"Retail Sales of Electricity in Residential Sector, East South Central, Monthly"
639,"Retail Sales of Electricity in Residential Sector, Alaska and Hawaii, Monthly"
640,"Retail Sales of Electricity in Residential Sector, Middle Atlantic, Monthly"
641,"Retail Sales of Electricity in Residential Sector, Mountain, Monthly"
642,"Retail Sales of Electricity in Residential Sector, New England, Monthly"
643,"Retail Sales of Electricity in Residential Sector, Pacific Contiguous, Monthly"
644,"Retail Sales of Electricity in Residential Sector, South Atlantic, Monthly"
645,"Retail Sales of Electricity in Residential Sector, U.S. Total, Monthly"
646,"Retail Sales of Electricity in Residential Sector, West North Central, Monthly"
647,"Retail Sales of Electricity in Residential Sector, West South Central, Monthly"
648,"Retail Sales of Electricity in All Sectors, U.S. Total, Monthly"
649,"Retail Sales of Electricity in All Sectors, East North Central, Monthly"
